PO Type,zip code,Location,Address,StartH,StartM,EndH,EndM,Impact,Date
sudden,9000,GHENT,VLAANDERENSTRAAT,8,30,10,49,<20,9-07-2024
sudden,9041,OOSTAKKER,KAMERIJKSTRAAT,13,35,14,49,<20,9-07-2024
sudden,9070,HEUSDEN,NEERHEIDE,12,35,15,59,<20,9-07-2024
sudden,9000,GHENT,MEULESTEEDSESTEENWEG,15,44,17,35,<20,5-07-2024
sudden,9040,SINT-AMANDSBERG,ROZEBROEKSLAG,13,15,15,26,<20,5-07-2024
sudden,9070,DESTELBERGEN,BIJLOKEWEG,18,44,22,6,21-100,5-07-2024
sudden,9090,MELLE,GONTRODE HEIRWEG,12,42,17,42,<20,5-07-2024
planned,9000,GHENT,"KONINGIN ASTRIDLAAN, KONINGIN ELISABETHLAAN",7,30,15,0,21-100,30-09-2024
planned,9000,GHENT,SMITHSTRAAT,8,0,16,0,<20,30-09-2024
planned,9031,DRONGEN,TRAIN STREET,8,0,12,0,<20,30-09-2024
planned,9060,ZELZATE,MILL STREET,8,0,15,30,21-100,30-09-2024
sudden,9000,GHENT,"KONINGIN ASTRIDLAAN, KONINGIN ELISABETHLAAN",7,30,15,35,21-100,30-09-2024
sudden,9031,DRONGEN,TRAIN STREET,8,50,11,35,<20,30-09-2024
sudden,9050,GENTBRUGGE,JULES DESTRÉELAAN,14,22,15,0,21-100,30-09-2024
sudden,9060,ZELZATE,MILL STREET,8,15,14,45,21-100,30-09-2024
sudden,9070,HEUSDEN,"CLEEMPUTTEHOF, VILLAGE SLAAN, HEIDESTRAAT, HEUSDENDORP, KLEEMPENDORP, KOUTERLAAN, KREKELSTRAAT, CROSSWAY, LETTERWAY, MAGERSTRAAT, MUGGENWEGEL, SINTE-BARBARASTRAAT, STEENAKKERSTRAAT, STEENTRAAT, STEENVOORDESTRAAT, TRAMSTRAAT, ZANDAKKERLAAN, ZANDREDE",14,22,15,0,101-500,30-09-2024
